"filename", "language", "Lua", "comment", "blank", "total"
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\Symbol.spec.lua", "Lua", 18, 0, 7, 25
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\Type.lua", "Lua", 34, 1, 14, 49
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\Type.spec.lua", "Lua", 20, 0, 5, 25
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\assertDeepEqual.lua", "Lua", 50, 1, 18, 69
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\assertDeepEqual.spec.lua", "Lua", 83, 0, 21, 104
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\assign.lua", "Lua", 21, 1, 6, 28
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\assign.spec.lua", "Lua", 51, 0, 18, 69
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\createContext.lua", "Lua", 96, 34, 23, 153
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\createContext.spec.lua", "Lua", 311, 6, 89, 406
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\createElement.lua", "Lua", 53, 3, 19, 75
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\createElement.spec.lua", "Lua", 84, 2, 24, 110
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\createFragment.lua", "Lua", 10, 0, 3, 13
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\createFragment.spec.lua", "Lua", 16, 0, 6, 22
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\createReconciler.lua", "Lua", 370, 41, 91, 502
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\createReconciler.spec.lua", "Lua", 240, 1, 86, 327
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\createReconcilerCompat.lua", "Lua", 33, 1, 14, 48
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\createReconcilerCompat.spec.lua", "Lua", 59, 9, 15, 83
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\createRef.lua", "Lua", 30, 2, 7, 39
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\createRef.spec.lua", "Lua", 39, 0, 17, 56
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\createSignal.lua", "Lua", 48, 3, 18, 69
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\createSignal.spec.lua", "Lua", 98, 6, 51, 155
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\createSpy.lua", "Lua", 58, 1, 20, 79
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\createSpy.spec.lua", "Lua", 71, 0, 20, 91
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\forwardRef.lua", "Lua", 21, 1, 7, 29
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\forwardRef.spec.lua", "Lua", 280, 7, 58, 345
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\getDefaultInstanceProperty.lua", "Lua", 38, 3, 14, 55
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\getDefaultInstanceProperty.spec.lua", "Lua", 23, 0, 11, 34
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\init.lua", "Lua", 37, 3, 10, 50
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\init.spec.lua", "Lua", 55, 1, 10, 66
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\internalAssert.lua", "Lua", 6, 0, 2, 8
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\invalidSetStateMessages.lua", "Lua", 26, 1, 12, 39
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\oneChild.lua", "Lua", 19, 1, 9, 29
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\oneChild.spec.lua", "Lua", 27, 0, 9, 36
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\strict.lua", "Lua", 14, 1, 6, 21
"f:\ProjectSave\LavenderMagic\LavenderProject\Assets\Script\Lua\Roact\strict.spec.lua", "Lua", 21, 0, 5, 26
"Total", "-", 7112, 297, 2367, 9776
